knowledge,major
周环,数学
忠实模,数学
前端控制,管理科学技术
选通脉冲,电子学
隧道效应,电子学
字线,电子学
真空,电子学
信息处理,电子学
游标,电子学
整形电路,电子学
工作站,电子学
多谐振荡器,电子学
主从触发器,电子学
循环码,数学
逻辑分析仪,电子学
整元,数学
字节,电子学
接口规范,电子学
数字示波器,电子学
成核,电子学
可编程逻辑器件,电子学
字符显示器,电子学
输出设计,管理科学技术
强制消费,管理科学技术
集的核,数学
折半信度,管理科学技术
大偏差,数学
话语分析,自然辩证法
同时效度,管理科学技术
操作定义,自然辩证法
实现理论,数学
抽样效率,数学
创新政策,管理科学技术
科学意识,自然辩证法
抽样单元,数学
内部效度,管理科学技术
时间序列研究,管理科学技术
外部效度,管理科学技术
表面效度,管理科学技术
全国经济普查,管理科学技术
内容效度,管理科学技术
样条曲线,计算机科学技术
屏幕坐标,计算机科学技术
面光源,计算机科学技术
光照模型,计算机科学技术
反走样,计算机科学技术
亏格,数学
几何建模,计算机科学技术
直接光照,计算机科学技术
世界坐标系,计算机科学技术
四元数,数学
插值公式,数学
隐藏面消除,计算机科学技术
科学计算可视化,计算机科学技术
图形处理单元,计算机科学技术
重心坐标,数学
八叉树,计算机科学技术
设备坐标系,计算机科学技术
凹多边形,数学
片段着色器,计算机科学技术
非齐次坐标,数学
分类教学,教育学
选修课,教育学
双语人,语言学
道德观念,教育学
否定副词,语言学
专业课程,教育学
教材编写,教育学
书面语词汇,语言学
过渡阶段,语言学
词素,语言学
演示法,教育学
样稿,语言学
形旁,语言学
口语词汇,语言学
工具型动机,语言学
语义辨析,语言学
教师评价,教育学
教师手册,教育学
用法说明,语言学
言语训练,教育学
学校管理,教育学
医学所,教育学
结构类型,语言学
总体设计,语言学
人生观,教育学
学习对象,教育学
德育目标,教育学
普通课程,教育学
道德传统,教育学
教育不平衡,教育学
学校纪律,教育学
区域性变异,语言学
社区语言,语言学
评价体系,教育学
多音字,语言学
国民教育,教育学
错别字,语言学
评课,教育学
方言特征,语言学
语法规则,语言学
汉字学,语言学
成人学习,教育学
状元,教育学
教育价值,教育学
学习权,教育学
教学阶段,教育学
字量,语言学
音系,语言学
汉语拼音教学,教育学
字源,语言学
平行课程,教育学
家庭教师,教育学
托福考试,教育学
官方语言,语言学
教学包,教育学
公民教育,教育学
课外活动,教育学
玩具,教育学
适应辐射,地理学
氮循环,农学
气候图,农学
随机过程,地理学
浮游植物,农学
脱氧核糖核酸,农学
沙漠气候,地理学
生命元素,地理学
淡水湿地,地理学
固氮作用,农学
化学实验室,建筑学
电离辐射,建筑学
冷凝,建筑学
洁净工作台,机械工程
电泳,机械工程
动物实验室,建筑学
配电,建筑学
铸铁,机械工程
菌种,建筑学
照射时间,机械工程
前窗,机械工程
清洗装置,机械工程
洁净室,机械工程
波长,建筑学
安全用电,建筑学
实验室离心机,机械工程
生物安全柜,机械工程
安全防护水平,建筑学
电磁起重机,机械工程
机械能,建筑学
热压,机械工程
质扩散,建筑学
洁净区,建筑学
真实自我,心理学
非线性动力学,自然辩证法
过程咨询,管理科学技术
动物园,建筑学
坐标,建筑学
服装间,建筑学
农业科学,自然辩证法
前室,建筑学
大幕,建筑学
温床,建筑学
历史价值,建筑学
机动性,建筑学
踏板,建筑学
住宅布局,建筑学
干栏,建筑学
天幕,建筑学
补充教育,教育学
机构知识库,管理科学技术
教学实验,教育学
直觉思维,自然辩证法
课程结构,教育学
预科,教育学
时间管理,教育学
抽屉试验,医学
接触面,医学
骨性关节炎,医学
功能评价,管理科学技术
总政策,管理科学技术
直线法,数学
平面转换,机械工程
单线螺纹,机械工程
公差等级,机械工程
卡盘,机械工程
基准孔,机械工程
蝶阀,机械工程
弹簧钢,机械工程
切削深度,机械工程
联轴器,机械工程
旋转法,数学
齿顶角,机械工程
喉圆,机械工程
基本偏差,机械工程
圆柱滚子轴承,机械工程
轴瓦,机械工程
起模,机械工程
紧定螺钉,机械工程
左旋螺纹,机械工程
尺寸系列,机械工程
刨削,机械工程
型砂,机械工程
固定顶尖,机械工程
基准轴,机械工程
最大间隙,机械工程
弹簧垫圈,机械工程
螺旋压力机,机械工程
齿根线,机械工程
深沟球轴承,机械工程
圆螺母,机械工程
牙底,机械工程
省略画法,机械工程
推力球轴承,机械工程
圆锥滚子轴承,机械工程
干涉仪,机械工程
中径线,机械工程
螺纹轴线,机械工程
钩头楔键,机械工程
啮合区域,机械工程
刨床,机械工程
公称直径,机械工程
向心轴承,机械工程
轴测投影,机械工程
干涉条纹,机械工程
最大过盈,机械工程
字体,机械工程
尺寸公差带,机械工程
进油孔,机械工程
棒料,机械工程
牙型角,机械工程
不可分辨性,物理学
衰变能,物理学
大统一理论,物理学
多道分析器,物理学
特征X射线,物理学
极大条件,数学
多体问题,数学
有效数字,物理学
惯性约束,物理学
莫塞莱定律,物理学
微粒说,物理学
X射线荧光分析,物理学
K介子,物理学
布儒斯特角,物理学
叉丝,物理学
染料激光器,电子学
掠射角,物理学
自旋轨道耦合,物理学
迈克耳孙干涉仪,物理学
光笔,电子学
非线性光学,物理学
中子,电子学
横模,电子学
衬比度,电子学
势函数,物理学
衍射屏,物理学
相干效应,物理学
流体性,物理学
原子单位,物理学
粒子数反转,电子学
截止波长,电子学
中间玻色子,物理学
红宝石激光器,电子学
清晰度,电子学
静电积累,物理学
核磁共振,电子学
氦氖激光器,电子学
液体激光器,电子学
内窥镜,物理学
中微子振荡,物理学
平均场近似,物理学
气体激光器,电子学
二氧化碳激光器,电子学
超精细结构,物理学
先天免疫,医学
临床免疫学,医学
复合群,数学
原发性耐药,医学
主成分分析,管理科学技术
脉冲场凝胶电泳,医学
鸟分枝杆菌,医学
移民,医学
预处理,医学
变异系数,数学
腹部结核,医学
分枝菌酸,医学
疗养院,医学
胞吞作用,医学
性区,医学
结核病发病率,医学
陵寝,地理学
绿带,地理学
生态思维,自然辩证法
北极圈,地理学
气候变迁,地理学
生态文化,自然辩证法
公害,地理学
盖娅,自然辩证法
南极圈,地理学
文化特质,地理学
生命带,地理学
石漠,地理学
社会生物学,自然辩证法
山地气候,地理学
砾漠,地理学
驿道,地理学
日照,地理学
二十四节气,地理学
热带雨林气候,地理学
亚纲,地理学
民族学,地理学
海外领土,地理学
生物地理学,地理学
群岛国,地理学
生态意识,自然辩证法
算符优先分析,计算机科学技术
数据流分析,计算机科学技术
四元组,计算机科学技术
算符优先文法,计算机科学技术
最右推导,计算机科学技术
归纳变量,计算机科学技术
产生式,计算机科学技术
有限自动机,数学
非终极符,计算机科学技术
正规文法,计算机科学技术
抽象语法树,计算机科学技术
算符文法,计算机科学技术
输入字母表,计算机科学技术
闭包运算,数学
词法分析,计算机科学技术
左线性文法,计算机科学技术
3型语言,计算机科学技术
表示的等价,数学
并行编译程序,计算机科学技术
2型文法,计算机科学技术
控制流分析,计算机科学技术
简单短语,计算机科学技术
3型文法,计算机科学技术
最左推导,计算机科学技术
右句型,计算机科学技术
并行计算机,计算机科学技术
确定的有限自动机,计算机科学技术
束流强度,物理学
倒易矢量,化学
粉末法,化学
非相干散射,化学
晶面指数,物理学
干涉函数,物理学
电子加速电压,化学
能量分辨率,物理学
原子散射因子,物理学
光电倍增管,化学
弹性散射,物理学
物平面,物理学
衍射光栅,化学
外标法,化学
反冲电子,化学
反常散射,物理学
位错,化学
X射线发生器,化学
螺旋轴,物理学
择优取向,化学
正空间,化学
体心格,物理学
散焦,物理学
允许偏差,化学
吸收因子,化学
结构振幅,化学
电子光学,物理学
布拉格方程,化学
准电子,物理学
动力学效应,化学
阴极荧光,化学
反轴,化学
俄歇电子,物理学
探测器,化学
系统消光,化学
吸收限,物理学
有序合金,化学
点对称操作,物理学
初级消光,化学
晶面,化学
晶带轴,物理学
径向分布函数,物理学
叠加原理,化学
晶棱,物理学
正交晶系,物理学
环氧树脂,化学
分析器,化学
内标法,化学
出射角,物理学
理想晶体,物理学
电磁体,物理学
电子能量分析器,物理学
对称操作群,物理学
角因数,物理学
显微分析,化学
背散射电子,化学
等效点系,化学
次级消光,化学
奥氏体,物理学
晶格像,化学
基体效应,化学
空间群,数学
德拜-谢乐法,化学
多重性因子,化学
平移群,数学
分析信号,化学
质量衰减系数,物理学
真空蒸发,物理学
尺规作图法,数学
平均查找长度,计算机科学技术
可达区域,数学
层次遍历,计算机科学技术
树表示,数学
否命题,数学
画家算法,计算机科学技术
算法正确性,计算机科学技术
语义解释,计算机科学技术
持续性评价,管理科学技术
知识转化模型,管理科学技术
均差,数学
知识使用,管理科学技术
女真文,语言学
古汉字,语言学
回鹘文,语言学
西夏文,语言学
契丹文,语言学
俗字,语言学
同字,语言学
释文,语言学
档案文献遗产,管理科学技术
字符,语言学
社会比较理论,管理科学技术
访谈法,心理学
扣带回,心理学
犯罪心理画像,心理学
群体极化,管理科学技术
启发法,心理学
心理语言学,心理学
外群体,心理学
内部表征,心理学
决策规则,管理科学技术
统计概率,心理学
释意,心理学
现场研究,心理学
审判心理学,心理学
犯罪心理学,心理学
侦查心理学,心理学
经验分析,管理科学技术
虚拟实验室,计算机科学技术
教学游戏,教育学
经验之塔,教育学
学习需要,教育学
专业课,教育学
开放教学,教育学
移动对象,计算机科学技术
教学媒体,教育学
学分转换,教育学
数字化学习资源,教育学
终身教育,教育学
视听教学,管理科学技术
智慧地球,管理科学技术
教育属性,教育学
信息行为,管理科学技术
人的全面发展,教育学
学生综合素质评价,教育学
分布式学习,教育学
教学组织形式,教育学
行为主义,教育学
电子纸,计算机科学技术
开放学习,教育学
课程整合,教育学
移动学习,教育学
教育管理信息系统,教育学
学习者分析,教育学
虚拟大学,教育学
实践共同体,教育学
计算机支持的协作学习,教育学
信息存储技术,计算机科学技术
控制,教育学
自我评价,教育学
教育现代化,教育学
知识组织,管理科学技术
课程管理系统,教育学
教育内容,教育学
新兴学科,教育学
非正式教育,教育学
专职教师,教育学
程序教学,教育学
学习圈,教育学
企业培训,教育学
被动学习,教育学
远程教学,计算机科学技术
视听教学媒体,教育学
数字化学习环境,教育学
过程模式,教育学
网络教学平台,计算机科学技术
内省,教育学
实用主义教育,教育学
虚拟学习,管理科学技术
网络课件,教育学
文本设计,教育学
学习环境设计,教育学
视听教材,教育学
企业教育,教育学
知识管理,教育学
学习评价,计算机科学技术
泛在学习,教育学
数字化资源,管理科学技术
课件设计,教育学
路由聚合,计算机科学技术
准入控制,计算机科学技术
自动重传请求,计算机科学技术
实时多媒体,计算机科学技术
多媒体通信,计算机科学技术
蜂窝系统,计算机科学技术
随机早期检测,计算机科学技术
内部转发,计算机科学技术
内部网关协议,计算机科学技术
故障分析,计算机科学技术
正交振幅调制,计算机科学技术
质量保证,计算机科学技术
注册机构,计算机科学技术
自主计算,计算机科学技术
扩展头,计算机科学技术
开环控制,计算机科学技术
规程特性,计算机科学技术
面向连接的协议,计算机科学技术
按序提交,计算机科学技术
信宿,管理科学技术
纠错码,计算机科学技术
前向纠错,计算机科学技术
任播,计算机科学技术
闭环控制,计算机科学技术
端局,计算机科学技术
多用途互联网邮件扩展,计算机科学技术
时域,计算机科学技术
类域,数学
码校验,数学
连通网,计算机科学技术
签名块,计算机科学技术
客观主义,自然辩证法
技术理性,管理科学技术
理想类,数学
基础主义,自然辩证法
自由格,数学
过程论,自然辩证法
理论的范围,自然辩证法
归纳逻辑,自然辩证法
实证论,自然辩证法
反科学,自然辩证法
决策活动,管理科学技术
信息,心理学
像素,建筑学
色彩感觉,建筑学
苯并噻嗪,化学
青霉烯,化学
唇炎,医学
组合化,管理科学技术
三唑,化学
偶氮染料,化学
烯丙吗啡,医学
生物半衰期,化学
蛛网膜下腔阻滞,医学
低聚物,化学
抗躁狂药,医学
大环内酯抗生素,化学
乳酸性酸中毒,医学
脊椎炎,医学
原发性青光眼,医学
卡铂,化学
青霉烷,化学
喷他佐辛,医学
活泼中间体,化学
脱氨基,化学
酮亚胺,化学
运动不能,医学
反流性食管炎,医学
头孢烷,化学
细胞色素P-450,化学
加成物,化学
吡唑烷,化学
咪唑啉,化学
邻氨基苯甲酸,化学
离子-偶极相互作用,化学
抗焦虑药,医学
氯普鲁卡因,医学
四唑,化学
低血糖昏迷,医学
L-精氨酸,化学
噻唑啉,化学
继发性青光眼,医学
螯合环,化学
互变异构化,化学
胞苷,化学
L-脯氨酸,化学
硫喷妥钠,医学
电荷转移复合物,化学
四环素类抗生素,化学
局部浸润麻醉,医学
噻嗪,化学
偶极-偶极相互作用,化学
细骨料,建筑学
改性沥青防水卷材,建筑学
工程验收,建筑学
检验,建筑学
泵送混凝土,建筑学
气硬性胶凝材料,建筑学
数量验收,管理科学技术
隔热层,建筑学
建筑制品,建筑学
轻骨料混凝土小型空心砌块,建筑学
和易性,建筑学
干混砂浆,建筑学
硅酸盐水泥,建筑学
建筑石膏,建筑学
预拌砂浆,建筑学
保水性,建筑学
缓凝剂,建筑学
现金流分析,管理科学技术
自信息,数学
消费者感知,管理科学技术
控制工程,计算机科学技术
单位脉冲响应函数,机械工程
比例积分微分控制,机械工程
数字控制系统,计算机科学技术
连续控制系统,数学
零阶保持器,计算机科学技术
离心调速器,机械工程
过渡过程时间,计算机科学技术
位置传感器,机械工程
稳态误差,计算机科学技术
斜坡响应,机械工程
积分控制器,机械工程
阶跃干扰,数学
比例控制器,机械工程
整闭,数学
脉冲响应,机械工程
差分法,数学
控制箱,计算机科学技术
比例控制,数学
干扰输入,数学
积分控制,数学
频谱分析仪,机械工程
自由时差,管理科学技术
费用索赔,管理科学技术
工期索赔,管理科学技术
业主违约,管理科学技术
质量控制点,管理科学技术
设计变更,建筑学
保护建筑,建筑学
建筑工程质量,建筑学
关键工作,管理科学技术
两阶段评标法,管理科学技术
网络分析,数学
机会研究,管理科学技术
工程单价,管理科学技术
多方案报价,管理科学技术
合格工人,管理科学技术
技术交底,管理科学技术
度量化,数学
进度偏差,管理科学技术
工程结算,建筑学
发包,建筑学
挣值,管理科学技术
偏差分析,管理科学技术
资格后审,管理科学技术
正常使用极限状态,建筑学
工程费用,建筑学
警告标志,建筑学
跳板,建筑学
总时差,管理科学技术
实验的重复,自然辩证法
科技政策,管理科学技术
平行工作,管理科学技术
协方差分析,数学
随机实验,自然辩证法
实验误差,自然辩证法
筛选实验,管理科学技术
中间实验,自然辩证法
随机区组设计,数学
可检验性,管理科学技术
过失误差,自然辩证法
创业战略,管理科学技术
突变论,自然辩证法
创新经济学,管理科学技术
信息论,自然辩证法
国家自然科学奖,管理科学技术
互助原则,自然辩证法
自我确证,心理学
正则系综,物理学
势能面,物理学
自洽性,物理学
可逆系统,数学
热力学判据,物理学
勒让德变换,数学
临界体积,物理学
克劳修斯等式,物理学
移动IP,计算机科学技术
一次一密,计算机科学技术
无类别编址,计算机科学技术
工作温度,计算机科学技术
数字商品,管理科学技术
启动问题,管理科学技术
社会网络分析,计算机科学技术
无线广域网,计算机科学技术
数值模拟,计算机科学技术
大五码,计算机科学技术
计算机产业,计算机科学技术
关键词抽取,计算机科学技术
对等网络,计算机科学技术
数据采集系统,计算机科学技术
字形码,计算机科学技术
汉字编码,计算机科学技术
骇客,计算机科学技术
社会化搜索,计算机科学技术
计算机文化,计算机科学技术
无线城域网,计算机科学技术
中文信息处理,计算机科学技术
S图,计算机科学技术
文件分配表,计算机科学技术
光计算机,计算机科学技术
布尔代数,计算机科学技术
资源滥用,计算机科学技术
计算机实现,计算机科学技术
虹膜识别,计算机科学技术
目的论,心理学
还原论,心理学
职业分层,管理科学技术
普通减水剂,建筑学
冷缩,建筑学
膨胀剂,建筑学
机制砂,建筑学
振实,机械工程
早强剂,建筑学
沥青混合料,机械工程
试验箱,机械工程
磨头,机械工程
伸缩缝,建筑学
动力黏度,机械工程
低温疲劳,机械工程
0#,数学
干硬性混凝土,建筑学
相对黏度,机械工程
平整度,建筑学
高效减水剂,建筑学
集料级配,建筑学
离子交换,建筑学
振动台,机械工程
塑性混凝土,建筑学
速凝剂,建筑学
坍落度,建筑学
黏度计,机械工程
含泥量,建筑学
最大应力,机械工程
桥涵,建筑学
有效长度,机械工程
抗滑性能,机械工程
混凝土外加剂,建筑学
理论密度,机械工程
混凝土配合比设计,建筑学
胎模,机械工程
喀斯特地貌,建筑学
水硬性胶凝材料,建筑学
泵送剂,建筑学
热稳定性,建筑学
自应力混凝土,建筑学
放热峰,机械工程
油石,机械工程
缓凝减水剂,建筑学
倾斜因子,物理学
暗室,建筑学
色光,建筑学
电压表,建筑学
光导纤维,物理学
加拿大胶,物理学
寻常光,物理学
单轴晶体,物理学
副镜,物理学
光的电磁理论,物理学
物体色,建筑学
主镜,物理学
电流表,建筑学
总辐射,建筑学
营销情报,管理科学技术
消费者感知价值,管理科学技术
成员群体,管理科学技术
等距量表,心理学
购后行为,管理科学技术
顾客欲望,管理科学技术
回忆法,心理学
商层,数学
营销信息系统,管理科学技术
购买者决策过程,管理科学技术
渴求产品,管理科学技术
组织营销,管理科学技术
国际营销,管理科学技术
国际定价,管理科学技术
工具主义,自然辩证法
订单管理,管理科学技术
预期损失,管理科学技术
间接人工,管理科学技术
成本动因,管理科学技术
本量利分析,管理科学技术
分批成本法,管理科学技术
采购订单,管理科学技术
安全边际,管理科学技术
入树,数学
模拟系统,电气工程
模拟器件,电气工程
自锁,电气工程
调整线圈,电气工程
中心元,数学
激励,电气工程
数字电压表,电子学
机械变形,电气工程
不合格,电气工程
电感应,电气工程
金属封装,电子学
不稳定性,电气工程
波参数,电子学
隔离,电气工程
频率计,电子学
数字显示,电子学
蜂鸣器,电气工程
热绝缘,电气工程
有源电路,电气工程
钠长石,地质学
斜方辉石,地质学
侵入岩,地质学
消光角,地质学
锂云母,地质学
聚片双晶,地质学
普通辉石,地质学
萤石,地质学
一轴晶,地质学
长石砂岩,地质学
斜消光,地质学
超镁铁质岩,地质学
柯石英,地质学
绢云母,地质学
钙长石,地质学
光性方位,地质学
自形,地质学
光率体,地质学
红柱石,地质学
磷灰石,地质学
消光位,地质学
中长石,地质学
橄榄石,地质学
实像,物理学
斜方晶系,地质学
轴面,地质学
干涉图,地质学
石膏,地质学
白云母,地质学
金云母,地质学
相对折射率,物理学
干涉色,物理学
平行消光,地质学
透辉石,地质学
晶形,物理学
结构要素,地质学
晶胞参数,地质学
光轴面,地质学
二辉橄榄岩,地质学
奥长石,地质学
结晶轴,地质学
光轴角,地质学
等轴晶系,地质学
镁橄榄石,地质学
鲕粒,地质学
光化作用,物理学
歪长石,地质学
单斜辉石,地质学
产权界定,管理科学技术
产品创造,管理科学技术
具体行政行为,管理科学技术
差别待遇,管理科学技术
文化模式,心理学
图册,数学
调幅,建筑学
光源色,建筑学
色立体,建筑学
色卡,建筑学
操场,建筑学
清晰度,建筑学
色温,建筑学
打印机,建筑学
色相环,建筑学
固有色,建筑学
评图,建筑学
环境色,建筑学
照相馆,建筑学
色性,建筑学
透射率,建筑学
相关色温,建筑学
黑体,建筑学
基色,建筑学
网点,建筑学
学段,教育学
弹性学制,教育学
操作,教育学
教育康复,教育学
就业,教育学
发现教学,教育学
面向过程的语言,计算机科学技术
社会影响评价,管理科学技术
几何变换,计算机科学技术
垂心,数学
出次数,数学
整式,数学
交互计算,计算机科学技术
重码,计算机科学技术
九点圆,数学
不动点,计算机科学技术
制度变迁,管理科学技术
当期收益率,管理科学技术
流动性溢价,管理科学技术
存款保险制度,管理科学技术
总量管理,管理科学技术
信用分配,管理科学技术
政策性银行,管理科学技术
贷款承诺,管理科学技术
利率上限,管理科学技术
熔断机制,管理科学技术
备用信用证,管理科学技术
资本市场工具,管理科学技术
信用条件,管理科学技术
或有资产,管理科学技术
互助储蓄银行,管理科学技术
金融集团,管理科学技术
表内业务,管理科学技术
直接信用控制,管理科学技术
通货膨胀理论,管理科学技术
社会福利函数,管理科学技术
结构方程,管理科学技术
价理论,自然辩证法
信用扩张,管理科学技术
投影算符,物理学
散射长度,物理学
完全积分,数学
狄拉克方程,数学
湮灭,化学
算符代数,物理学
二次量子化,物理学
内禀宇称,物理学
自旋系统,数学
厄密算符,化学
散射振幅,物理学
产生算符,物理学
微分散射截面,物理学
相位约定,物理学
含时薛定谔方程,物理学
热参数,化学
微扰论,物理学
渐近值,数学
散射截面,化学
单态,物理学
超大规模集成电路,物理学
共轭波,物理学
态密度,化学
谐振子势,物理学
拓扑不变量,数学
选择定则,物理学
重叠积分,化学
塞曼效应,物理学
共轭矩阵,数学
相对论效应,化学
玻恩-奥本海默近似,物理学
斯塔克效应,物理学
玻恩近似,物理学
平移算符,物理学
细致平衡原理,物理学
含时微扰,物理学
左矢,物理学
对称波函数,物理学
出射粒子,物理学
久期方程,物理学
放射性衰变,化学
变分法,数学
厄米算符,物理学
本征方程,化学
电偶极跃迁,物理学
反常塞曼效应,物理学
粒子数算符,物理学
理性主义,建筑学
新现代,建筑学
磁带,建筑学
未来主义,建筑学
健身房,建筑学
快餐店,建筑学
系统软件,建筑学
城市公共交通,建筑学
工业区,建筑学
酒吧,建筑学
构成主义,建筑学
城市可持续发展,建筑学
总建筑师,建筑学
整体保护,建筑学
学生宿舍,建筑学
产品适应,管理科学技术
咖啡厅,建筑学
极少主义,建筑学
高技派,建筑学
城市总体规划,建筑学
基准地价,建筑学
居住物业,建筑学
建筑间距,建筑学
建设用地规划许可证,建筑学
安装工程费,建筑学
房屋所有权,建筑学
步行街,建筑学
建筑工程费,建筑学
楼面地价,建筑学
动态投资,管理科学技术
土地出让,建筑学
设备购置费,建筑学
房地产开发企业,建筑学
不确定性分析,建筑学
投标价,建筑学
单项工程,建筑学
房屋征收,建筑学
立体绿化,建筑学
精装修,建筑学
交通组织,建筑学
工程建设其他费,建筑学
土地储备,建筑学
毛坯房,建筑学
成交率,管理科学技术
管线综合设计,建筑学
道路绿地,建筑学
房地产抵押,建筑学
工业用地,建筑学
房地产金融,建筑学
综合楼,建筑学
费用估算,管理科学技术
资产负债率,建筑学
周边式,建筑学
流动资金,建筑学
履约担保,管理科学技术
设计工况,机械工程
开放式办公室,建筑学
消声器,建筑学
冷热源设备,建筑学
冷凝器,建筑学
风机盘管加新风系统,建筑学
消声量,建筑学
营业厅,建筑学
空调水系统,机械工程
防火卷帘,建筑学
饱和湿度,建筑学
洁净车间,建筑学
起动把,机械工程
噪声,建筑学
自动卷绕式空气过滤器,机械工程
振动传递率,建筑学
踢脚,建筑学
制冷工程,机械工程
倍频程,建筑学
节流调节,机械工程
计权,建筑学
变风量末端装置,建筑学
候机厅,建筑学
制冷剂,建筑学
等温射流,建筑学
图例,建筑学
隔振,建筑学
建筑法规,建筑学
喘振,机械工程
走廊回风,建筑学
诱导器,建筑学
避难层,建筑学
排管,机械工程
变形缝,建筑学
转轮除湿机,机械工程
自由射流,建筑学
袋式过滤器,机械工程
出口面积,机械工程
平延,数学
城市供热系统,建筑学
等温线,建筑学
空气幕,建筑学
超声波加湿器,建筑学
水气比,建筑学
区域供暖,建筑学
联箱,机械工程
防火门,建筑学
冷盘管,建筑学
板式换热器,建筑学
浓溶液,机械工程
电热式加湿器,机械工程
录音室,建筑学
一次回风,建筑学
离心式加湿器,机械工程
工艺空调,机械工程
变频调速,建筑学
舞台灯光,建筑学
表面换热系数,建筑学
室内允许噪声级,建筑学
铝塑复合管,建筑学
温度梯度,建筑学
吸附剂,建筑学
墙板,建筑学
热舒适性,建筑学
废热,建筑学
叶片角,机械工程
散流器送风,建筑学
动叶片,机械工程
排烟阀,建筑学
水分离器,机械工程
复乘,数学
冷风机组,建筑学
排烟口,建筑学
防烟分区,建筑学
绝热,建筑学
静压,机械工程
室外计算温度,建筑学
盥洗室,建筑学
受限射流,建筑学
风压,建筑学
消声弯头,建筑学
终参数,机械工程
传热阻,建筑学
找平层,建筑学
洁净度,建筑学
热水锅炉,机械工程
估算指标,建筑学
接待室,建筑学
高效空气过滤器,建筑学
额定工况,机械工程
温度衰减,建筑学
蒸发器,建筑学
质量流速,机械工程
电极式加湿器,建筑学
变工况,机械工程
喷口送风,建筑学
喷水室,机械工程
热媒,建筑学
诱导型变风量末端装置,机械工程
湿材,建筑学
手动阀,机械工程
干蒸汽加湿器,建筑学
达斡尔语,语言学
师徒传承,管理科学技术
田野调查,语言学
南亚语系,语言学
案例分析,自然辩证法
突厥语族,语言学
纳西文,语言学
藏缅语族,语言学
满文,语言学
傈僳文,语言学
满语,语言学
线图,语言学
蒙古文,语言学
纳西语,语言学
侗语,语言学
南岛语系,语言学
彝语支,语言学
藏语支,语言学
壮文,语言学
通古斯语支,语言学
彝文,语言学
鄂温克语,语言学
白语,语言学
苗瑶语族,语言学
景颇语,语言学
赫哲语,语言学
东巴文,语言学
布依语,语言学
苗语,语言学
傣文,语言学
朝鲜文,语言学
壮侗语族,语言学
维吾尔文,语言学
语族,语言学
鄂伦春语,语言学
文化通道,地理学
墓园,建筑学
建筑遗产,建筑学
石网,地理学
城市防洪,建筑学
造船厂,建筑学
验线,建筑学
主导产业,地理学
历史文化街区,建筑学
漕运,地理学
短路,建筑学
经济区,地理学
船坞,建筑学
拓殖,地理学
兵工厂,建筑学
产业园区,建筑学
品牌联想,管理科学技术
轰炸,计算机科学技术
公益营销,管理科学技术
发展障碍,心理学
能力测验,心理学
投射性认同,心理学
页调出,计算机科学技术
中间人攻击,计算机科学技术
密钥流,计算机科学技术
形变能,物理学
内部自由度,物理学
瞬态传热,建筑学
中性轴,建筑学
自由指标,物理学
振动模态,建筑学
数值稳定性,数学
数据处理,物理学
单元刚度矩阵,数学
比热,建筑学
插值函数,数学
虚功,物理学
振型,建筑学
差商,数学
屈服极限,建筑学
热流,建筑学
热流密度,建筑学
静态分析,建筑学
剪切模量,建筑学
一阶变分,数学
截断误差,数学
弹塑性分析,建筑学
剖视图,建筑学
插值条件,数学
罚函数法,数学
插值多项式,数学
自由振动,建筑学
韦布尔分布,数学
极值原理,数学
稳定性理论,物理学
虚功原理,物理学
正交多项式,数学
正应变,建筑学
加权逼近,数学
自适应网格,数学
整表示,数学
安培计,物理学
电子包,物理学
马德隆常数,物理学
π系,数学
电子自由度,物理学
洪德定则,物理学
电子动能,化学
软物质,化学
分子几何结构,化学
配位数,物理学
文件名扩展,计算机科学技术
访问类型,计算机科学技术
数据访问对象,计算机科学技术
禁止状态,计算机科学技术
公益腐败,管理科学技术
直觉主义,自然辩证法
国民性,心理学
自律道德,心理学
资本税,管理科学技术
溢出效应,管理科学技术
强相互作用,自然辩证法
秩检验,数学
工资差距,管理科学技术
模块化方法,管理科学技术
混合整数规划,管理科学技术
化学键理论,自然辩证法
邻近空间,数学
最大值原理,数学
排队长度,管理科学技术
切空间,数学
凸函数,管理科学技术
贪婪算法,管理科学技术
计量检验,管理科学技术
形态分析,自然辩证法
符号检验,数学
整数规划,管理科学技术
无政府主义知识论,自然辩证法
区域分解,数学
事件研究,管理科学技术
单纯形法,数学
拓扑型,数学
特征矩阵,数学
函数空间,数学
终止面,数学
凹多面体,数学
外迭代,数学
随机连续,数学
赫兹,语言学
查询,语言学
语文学,语言学
词族,语言学
多语现象,语言学
构词法,语言学
词条,语言学
基本词,语言学
电子词典,语言学
非言语交际,语言学
计划值,管理科学技术
词汇表,语言学
频词,语言学
双面焊,机械工程
详图,机械工程
旋塞阀,机械工程
整体法兰,机械工程
螺纹法兰,机械工程
列管式换热器,机械工程
百分误差,数学
密封面,机械工程
坡口,机械工程
过恢复,机械工程
缝焊,机械工程
压力仪表,机械工程
平焊法兰,机械工程
封头,机械工程
倍频程,电子学
时间继电器,电子学
理想变压器,电气工程
等效电路图,电气工程
充电,电气工程
电位,电气工程
电流互感器,电气工程
双重绝缘,电气工程
TT系统,电气工程
加强绝缘,电气工程
剩磁,电子学
芯柱,电子学
一端口网络,电气工程
点动,电气工程
理想电流源,电气工程
趋肤效应,电气工程
分辨率,电气工程
起动,电气工程
再插入,电气工程
Ⅲ类设备,电气工程
模拟信号,电气工程
